reporting_date,academic_term_name,partner_id,program_started,program_model,commitment_level,grade_levels,rostered_learners,active_learners,very_active_learners
2023-11-22,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52250,16374,558
2023-12-10,2023 - 2024 SY,OGlwbiCKI4Xt9RJOAwUvtrnaWIf8ySu4NWicAgto76s=,false,,,,3107,1124,25
2023-12-27,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35322,18947,556
2023-12-19,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,53374,17227,687
2023-12-20,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,53359,17244,690
2023-12-24,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,96940,50371,1440
2023-10-29,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,270,231,18
2023-10-29,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2421,1806,42
2023-12-31,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5456,3227,55
2023-09-12,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,412,128,0
2023-09-14,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1280,1102,0
2023-09-19,2023 - 2024 SY,OGlwbiCKI4Xt9RJOAwUvtrnaWIf8ySu4NWicAgto76s=,false,,,,3222,897,6
2023-09-11,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3283,1235,4
2023-09-24,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,9646,2491,7
2023-10-14,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,279,230,10
2023-10-04,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,0,0,0
2023-10-13,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,9558,2683,21
2023-11-08,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2398,1800,60
2023-11-16,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5463,3160,31
2023-11-07,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52455,15949,485
2023-12-04,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15664,7830,266
2023-09-20,2023 - 2024 SY,odixc7Ugk2G0F5I0eX5Oc5tLR7qGR+al8u4oECdidAI=,false,,,,1430,774,2
2023-09-06,2023 - 2024 SY,Z3VI3AL16Qbk7ySD7gS0LXICxFlQ27kJw2wFwLG0i4k=,false,,,,1470,353,0
2023-09-01,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3828,2618,0
2023-10-20,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,821,43,0
2023-10-17,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,322,139,28
2023-11-27,2023 - 2024 SY,OGlwbiCKI4Xt9RJOAwUvtrnaWIf8ySu4NWicAgto76s=,false,,,,3137,1119,21
2023-11-09,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3886,2104,1
2023-12-16,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,501,471,25
2023-12-22,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1342,1302,86
2023-12-10,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1342,1301,49
2023-12-17,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2383,1797,137
2023-12-07,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3270,2641,44
2023-12-04,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35409,18407,480
2023-12-31,2023 - 2024 SY,OGlwbiCKI4Xt9RJOAwUvtrnaWIf8ySu4NWicAgto76s=,false,,,,3052,1125,25
2023-09-18,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,414,130,0
2023-09-15,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1280,1153,0
2023-11-04,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1871,783,2
2023-12-14,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,645,155,0
2023-12-12,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,358,175,64
2023-12-03,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1870,826,4
2023-12-12,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3836,2154,1
2023-12-13,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,53446,17117,662
2023-10-29,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3888,1982,1
2023-09-13,2023 - 2024 SY,B++Z1VlCM2PfcXMo8HREN1XglSB2P981bhosh3YLrow=,false,,,,2479,1671,4
2023-10-21,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,322,143,35
2023-10-11,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,814,19,0
2023-10-16,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,808,21,0
2023-10-01,2023 - 2024 SY,OGlwbiCKI4Xt9RJOAwUvtrnaWIf8ySu4NWicAgto76s=,false,,,,3258,953,6
2023-11-01,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1348,1223,21
2023-11-02,2023 - 2024 SY,Z3VI3AL16Qbk7ySD7gS0LXICxFlQ27kJw2wFwLG0i4k=,false,,,,1459,674,1
2023-10-31,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3285,2485,20
2023-10-19,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3832,2908,119
2023-11-10,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,822,274,0
2023-11-18,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1342,1235,35
2023-12-27,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,227,172,73
2023-09-12,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,0,0,0
2023-10-06,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,0,0,0
2023-10-27,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,886,368,0
2023-11-14,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,821,274,0
2023-12-14,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3260,2639,53
2023-11-26,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,628,115,0
2023-12-17,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,645,156,0
2023-12-29,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,644,158,0
2023-09-20,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,293,136,0
2023-09-25,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1339,1278,0
2023-12-14,2023 - 2024 SY,odixc7Ugk2G0F5I0eX5Oc5tLR7qGR+al8u4oECdidAI=,false,,,,1379,1022,11
2023-12-16,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1341,1306,53
2023-09-16,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,788,3,0
2023-10-14,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1343,1181,16
2023-10-02,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3277,1991,7
2023-09-05,2023 - 2024 SY,odixc7Ugk2G0F5I0eX5Oc5tLR7qGR+al8u4oECdidAI=,false,,,,1441,322,2
2023-10-29,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1872,762,2
2023-10-01,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3962,1652,1
2023-11-23,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,503,470,19
2023-11-23,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3273,2580,26
2023-10-01,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3838,2786,16
2023-11-25,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,628,115,0
2023-11-10,2023 - 2024 SY,odixc7Ugk2G0F5I0eX5Oc5tLR7qGR+al8u4oECdidAI=,false,,,,1403,1025,7
2023-11-23,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1344,1241,37
2023-09-23,2023 - 2024 SY,LmttyVOgstljvJ8jOZWkvfgu9XAUykHpVovgfk0oiMk=,false,,,,0,0,0
2023-09-26,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3279,1829,6
2023-11-19,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,503,470,19
2023-10-17,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1344,1208,17
2023-11-06,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,507,470,10
2023-11-24,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,882,395,1
2023-11-19,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,629,114,0
2023-12-21,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,886,462,2
2023-12-31,2023 - 2024 SY,JegVb+e1Bx2778GmzbS5sqSzN9gzjXto3x6Iby8KYPU=,false,,,,262,230,45
2023-10-09,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1037,885,5
2023-11-08,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,883,386,0
2023-10-22,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,506,431,3
2023-09-28,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1037,876,2
2023-10-29,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1037,892,11
2023-12-19,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1035,910,25
2023-09-01,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1884,48,1
2023-11-26,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1036,894,16
2023-10-19,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1346,1211,18
2023-09-05,2023 - 2024 SY,dCizbmxaJZG1xGRD/md9Kl2SxueNp8foKVTZsdbnU20=,false,,,,0,0,0
2023-09-10,2023 - 2024 SY,W88GuLNMt4ZhTe6tbQ6Oq037hFoq2YAbFFmFuAunENA=,false,,,,0,0,0
2023-12-14,2023 - 2024 SY,VWe7Y86Kh7kTY28xVHpOWbPSVZNGgKwt4476xULNHn0=,false,,,,1035,901,22
2023-10-05,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,876,340,0
2023-10-31,2023 - 2024 SY,0MIw7EhCoutq79+6b722/hjxx1cpvUbfzAT6XClKVsg=,false,,,,886,373,0
2023-12-31,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12301,3769,175
2023-12-29,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,53321,17272,699
2023-10-31,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52547,15366,428
2023-09-20,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,788,3,0
2023-09-04,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3993,630,1
2023-09-16,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5430,2299,1
2023-09-28,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,9609,2547,7
2023-09-17,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15756,3254,12
2023-09-11,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15746,2486,12
2023-09-13,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52693,7422,123
2023-09-27,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52705,11578,164
2023-09-25,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93349,33855,209
2023-09-16,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93137,30964,129
2023-10-24,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1341,1295,0
2023-10-26,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3289,2470,16
2023-10-03,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15656,4798,32
2023-10-18,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15746,5930,60
2023-10-14,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35615,15344,349
2023-10-24,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35573,16108,373
2023-10-07,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35653,14801,336
2023-10-21,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52582,14448,341
2023-10-26,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,94713,42342,589
2023-10-14,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93347,40030,444
2023-10-06,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,93433,38103,354
2023-11-16,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1873,798,4
2023-11-06,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3822,2924,306
2023-11-18,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3278,2584,26
2023-11-26,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5451,3169,32
2023-11-11,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5456,3147,22
2023-11-19,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12336,3653,100
2023-11-18,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12336,3652,99
2023-11-11,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12349,3450,72
2023-11-14,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12355,3464,82
2023-11-18,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15632,7078,192
2023-11-16,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15638,7038,176
2023-11-21,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35447,17894,445
2023-11-08,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,52476,16000,499
2023-11-14,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,94785,44800,857
2023-12-14,2023 - 2024 SY,Bt8EzSENp1dwjtW6Nwk++WT+pUbz2M4aj4gOOPk5KJY=,false,,,,1867,877,7
2023-12-20,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3807,2934,670
2023-12-03,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3811,2933,512
2023-12-18,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3259,2654,54
2023-12-27,2023 - 2024 SY,gjQopZDPCM9u8OPQGq7ZVgU8yHz2l0WK37VXBCh2syg=,false,,,,3252,2652,54
2023-12-03,2023 - 2024 SY,LfIimV0a2KZ9wJ0xaJjmP9LoqROlI7ofGQJPbhp4OCk=,false,,,,3851,2146,1
2023-12-05,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5460,3191,42
2023-12-02,2023 - 2024 SY,Etk0Z04DdqemXm9QSvrh4oTXwtuKAAlOVofU/IgxomA=,false,,,,12345,3717,127
2023-12-07,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35413,18660,492
2023-12-19,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35337,18911,535
2023-12-11,2023 - 2024 SY,+LVQIP7PJWOu/kztbrDnndnikPLVz0Ocb5lBpmyvgAs=,false,,,,35385,18763,504
2023-12-10,2023 - 2024 SY,0PfNnaafD6NBM5qr3kPV8LPsOzFJpiKtf/IX6hBK/fE=,false,,,,53496,17009,648
2023-12-13,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,97022,49532,1276
2023-12-08,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,94693,47407,1131
2023-10-31,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1343,1295,0
2023-11-30,2023 - 2024 SY,rTvBTTUAKUjLmLGRxxq9Fm7c3DN5ZJtysHJ+pOoZFwY=,false,,,,1339,1298,26
2023-12-29,2023 - 2024 SY,Y2JPPwlGkiVUo3TXr4pBGFq/NpGn3btcuckvOW8nr2s=,false,,,,5456,3227,55
2023-11-30,2023 - 2024 SY,ztctexxU7U2a70cB9CGC09kOwXpcmoQNNP98WXa0fpU=,false,,,,15658,7750,242
2023-10-28,2023 - 2024 SY,Z3VI3AL16Qbk7ySD7gS0LXICxFlQ27kJw2wFwLG0i4k=,false,,,,1468,660,1
2023-10-08,2023 - 2024 SY,Vt7NoQZaPOqa6L8bmn/31XcOTIHwXAFAWD8QNzM2RXo=,false,,,,3833,2800,39
2023-11-25,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1343,1240,37
2023-11-04,2023 - 2024 SY,vPgEutJCP200Q7UuTzQ/3fOFap4dSEFnTwzMj+7ez4o=,false,,,,1346,1221,22
2023-11-20,2023 - 2024 SY,sguiQ/DTm0tcUmmhX5WHXJcWNVLTkRatUJvkhXZz3bU=,false,,,,94769,45321,909
2023-12-28,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,804,262,2
2023-12-25,2023 - 2024 SY,Orotcgqq0bXAgkfxkgwkW55k0abSlmNcEpsirZyllok=,false,,,,804,262,2
